,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US11,11,District of Columbia,8710000US1120427,1120427,District of Columbia - ZCTA 20427,ZCTA 20427,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120506,1120506,District of Columbia - ZCTA 20506,ZCTA 20506,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120510,1120510,District of Columbia - ZCTA 20510,ZCTA 20510,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120520,1120520,District of Columbia - ZCTA 20520,ZCTA 20520,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120540,1120540,District of Columbia - ZCTA 20540,ZCTA 20540,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120551,1120551,District of Columbia - ZCTA 20551,ZCTA 20551,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120553,1120553,District of Columbia - ZCTA 20553,ZCTA 20553,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120560,1120560,District of Columbia - ZCTA 20560,ZCTA 20560,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120565,1120565,District of Columbia - ZCTA 20565,ZCTA 20565,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120566,1120566,District of Columbia - ZCTA 20566,ZCTA 20566,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US11,11,District of Columbia,8710000US1120593,1120593,District of Columbia - ZCTA 20593,ZCTA 20593,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US12,12,Florida,8710000US1232447,1232447,Florida - ZCTA 32447,ZCTA 32447,,,,,,,,$(X),$(X)
0400000US12,12,Florida,8710000US1233101,1233101,Florida - ZCTA 33101,ZCTA 33101,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US12,12,Florida,8710000US1233122,1233122,Florida - ZCTA 33122,ZCTA 33122,,,,,,,,$(X),$(X)
0400000US13,13,Georgia,8710000US1330334,1330334,Georgia - ZCTA 30334,ZCTA 30334,,,,,,,,$(X),$(X)
0400000US13,13,Georgia,8710000US1331213,1331213,Georgia - ZCTA 31213,ZCTA 31213,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US13,13,Georgia,8710000US1331524,1331524,Georgia - ZCTA 31524,ZCTA 31524,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US15,15,Hawaii,8710000US1596850,1596850,Hawaii - ZCTA 96850,ZCTA 96850,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US18,18,Indiana,8710000US1847907,1847907,Indiana - ZCTA 47907,ZCTA 47907,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US19,19,Iowa,8710000US1950319,1950319,Iowa - ZCTA 50319,ZCTA 50319,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
